De Olhos Bem Fechados, Stanley Kubrick, 1999, 4
Os Suspeitos, Denis Villeneuve, 2013, 5
Oppenheimer, Christopher Nolan, 2023, 5
Glória Feita de Sangue, Stanley Kubrick, 1957, 5
